"Municipio";"x1";"x2";"x3";"x4";"x5";"x6";"x7";"x8";"x9";"x10";"x11";"x12";"x13";"x14";"x15";"x16";"x17";"x18"
"Miracema";0.0401207689779823;0.091180578376602;0.868702760433782;0.22425697988592;0.8998;0.228811980777111;0.921692806318221;0.0655737704918033;0.192250305700479;0.146157979580871;0.86044667635787;0.713;0.0067480597778794;0.153284671532847;0.225802499387405;0.0579514824797844;0.0234546787197655;0.0752151398874939
"Natividade";0.0768351571059501;0.0906791467719901;0.83248569612206;0.140543115769414;0.8965;0.209189762630951;0.798700437607744;0.0655737704918033;0.211314278619446;0.174637291778614;0.830047417020215;0.73;0.00952333765488445;0.164214950465326;0.222805247225025;0.0433905146316852;0.0120894620189402;0.0796976528311895
"Nilópolis";0;0.0956188639901026;0.904381759588139;0.301667756703728;0.979;0.225523265046848;1;0.0491803278688525;0.132921272078932;0.162815690488984;0.894095557686162;0.753;0.0119824836508894;0.116853121616745;0.403398288973384;0.0601433776932826;0.107613730846894;0.0468604097189138
"Niterói";0.00048493698642814;0.189483206916345;0.810031856097226;0.203575117798806;0.9776;0.428634717225707;1;0.311475409836066;0.394890652216618;0.284793121977432;0.914536167768669;0.837;0.0604541150363288;0.0809897536516242;0.591752284792093;0.183433631666686;0.424079840696774;0.028176929293095
"Nova Friburgo";0.016117209228854;0.187508814950909;0.796373975820237;0.219246861924686;0.9529;0.464521479333487;0.875275974560912;0.0655737704918033;0.244929280224212;0.185921547555078;0.757233955628186;0.745;0.0287776743278287;0.179252479023646;0.393399298400164;0.0606899589422517;0.164316071147489;0.0284926571544689
"Nova Iguaçu";0.000637868736384091;0.13439999341443;0.864962137849186;0.318557459559176;0.9555;0.186692236300591;0.989081414668882;0.114754098360656;0.147090696734485;0.0585706609349812;0.649545951949303;0.713;0.018261083814592;0.0887647835429683;0.296317495122777;0.0367283104654725;0.0553415583473685;0.0640295783898917
"Paracambi";0.00522033256853608;0.0738392033493389;0.920940464082125;0.288595271210014;0.9494;0.245416348357525;0.885366267719209;0.0655737704918033;0.158222715536554;0.77592692101021;0.679317728715942;0.72;0.00768051930489941;0.137482805318888;0.340112846083191;0.0368718016008398;0.0529215030493803;0.0634708428826076
"Paraíba do Sul";0.0451581800330411;0.137934007874216;0.816907812092742;0.233781245484757;0.9441;0.236223347288482;0.880001947230065;0.0491803278688525;0.1425335503898;0.162278344975819;0.851996934343864;0.702;0.022286887730981;0.0377545951316443;0.28481210042102;0.0463901450179323;0.0527013331254385;0.0462710544250803
"Parati";0.0121607407992217;0.362224536936818;0.625613448887961;0.239643957548785;0.9231;0.13862467695095;0.737724136093571;0.131147540983607;0.145203493695351;0.0478237506716819;0.529696132596685;0.693;0.0471943156202202;0.00536437246963563;0.259786787836421;0.064837469416288;0.0157940663176265;0.0448671835451469
"Paty do Alferes";0.0796767489485222;0.121063369820023;0.799259881231454;0.240594372431236;0.8885;0.344588186198262;0.705072271330475;0.0819672131147541;0.072269576286446;0;0.580069324090121;0.671;0.0118886704249231;0.211530125704378;0.127906976744186;0.0251312828207052;0.0216195951012247;0.0843355210743958
"Petrópolis";0.00449004970260557;0.31797889105705;0.677531059240344;0.241825201825202;0.9629;0.381289348026643;0.950557081884447;0.147540983606557;0.181402663952937;0.281031703385277;0.538493695485154;0.745;0.0562435046391476;0.373062363020522;0.393502405169816;0.0701187520129661;0.125894164183598;0.0393792854077326
"Pinheiral";0.0109185548699732;0.098451793065922;0.890629652064105;0.214603409933284;0.9507;0.184955323737841;0.898411021611867;0.0327868852459017;0.0602261453397178;0.0934981192907039;0.8703300124533;0.715;0.0060623149352951;0.197410510281797;0.284407542921475;0.0502392344497608;0.0323715693173821;0.0724503719353845
